name,job,quotes
Chief Executive Officer,Chief Executive Officer,Lulusan Teknik Informatika ITB. Mendirikan dan menjadi CEO Dicoding sejak 2015. Sebelumnya bekerja di Microsoft dan Nokia. Mengembangkan developer serta jejaringnya di Indonesia hingga Asia Tenggara.
Chief Operating Officer,Chief Operating Officer,Bergabung sejak awal Dicoding berdiri tahun 2015. Pernah bekerja di Nokia untuk mengembangkan developer di Indonesia. Kini fokus memberikan experience terbaik pada user dan partner Dicoding.
Chief Technology Officer,Chief Technology Officer,"Melakukan commit code pertama untuk dicoding.com. Fokus membangun fondasi dan platform yang stabil, tangguh dan aman. Tujuannya memudahkan engineer dalam memberi dampak yang maksimal."
Managing Editor,Managing Editor,"Memulai karir sebagai Curriculum Developer di tahun 2016. Setelah berhasil mengembangkan banyak kelas berkualitas di Academy, saat ini bertanggung jawab menyunting materi kelas agar tetap terjaga kualitasnya."
Chief Learning Officer,Chief Learning Officer,Lulusan Teknik Informatika ITB. Berpengalaman dalam membangun berbagai sistem dengan perhatian khusus di edukasi. Saat ini bertanggung jawab mengembangkan pengalaman belajar untuk siswa di Dicoding.
Chief Product Officer,Chief Product Officer,"Meraih gelar LINE API Expert. Pernah bekerja di Gojek sebagai Product Engineer. Setelah berhasil membangun tim Reviewer, kini fokus untuk memastikan dicoding.com bisa menyelesaikan masalah para pengguna."
Head of Growth,Head of Growth,Lulusan Teknik Informatika Universitas Brawijaya. Saat ini fokus menumbuhkan ekosistem pengguna agar dapat merasakan manfaat belajar bersama Dicoding.
Business Development Manager,Business Development Manager,Lulusan Manajemen Bisnis Telekomunikasi &amp; Informatika Telkom University. Saat ini bertanggung jawab dalam mengembangkan strategi dan menciptakan peluang bisnis untuk perusahaan.
Head of Reviewer,Head of Reviewer,Peraih gelar Google Certified Associate Android Developer sejak 2019. Bergabung dengan Dicoding untuk membantu developer Indonesia menuliskan kode dengan baik lewat Code Review.
Tech Lead,Tech Lead,Turut membangun Dicoding sejak awal 2020 sebagai Product Engineer. Saat ini fokus mengawal engineering initiatives agar engineer lebih bahagia dalam membangun solusi untuk para pengguna.
Engineer,Engineer,"Meraih gelar LINE API Expert. Bergabung sebagai Product Engineer sejak 2017. Bertanggung jawab pada pengembangan platform Dicoding, seperti code review, dan pemeliharaan fitur."
Curriculum Developer,Curriculum Developer,Lulusan Teknik Elektro UNDIP. Meraih gelar Google Associate Android Developer. Saat ini bertanggung jawab pada kualitas materi kelas terkait Android.
Curriculum Developer,Curriculum Developer,Sebelumnya mengabdi pada sebuah NGO untuk membantu perekonomian UMKM melalui produk digital. Meraih gelar Google Associate Android Developer. Kini bertanggung jawab pada kualitas materi kelas Web Development.
Curriculum Developer,Curriculum Developer,Lulusan Magister Sains Komputasi ITB. Berpengalaman menjadi dosen selama 5 tahun. Meraih gelar Certified TensorFlow Developer. Kini bertanggung jawab pada kualitas materi kelas Machine Learning.
Curriculum Developer,Curriculum Developer,Bergabung sebagai Curriculum Developer dan saat ini bertanggung jawab untuk menjaga kualitas materi kelas terkait iOS dengan dibekali sertifikasi dari University of Toronto.
Senior Program Manager,Senior Program Manager,"Lulusan UI &amp; Sciences Po, Perancis. Fokus mengelola program pendidikan talenta digital yang dipercayakan client kepada Dicoding. Berpengalaman menulis &amp; menjalankan proyek donor di United Nations."
Senior Education Program Manager,Senior Education Program Manager,Lulusan Teknik Informatika ITS. Meraih gelar Intel Software Innovator. Mewakili Dicoding dan Indonesia di ASEAN Future Workforce Council. Bertanggung jawab dalam mengelola program pendidikan bersama partner.
Program Operation,Program Operation,Meraih gelar Intel Innovator. Menempuh studi MBA di Institut Teknologi Bandung.Saat ini bertanggung jawab dalam menyukseskan program-program Dicoding bersama partner.
Alliance Director,Alliance Director,"Lulusan International Management Ritsumeikan APU, Jepang. Saat ini mengurus kerjasama Google Cloud Partner dan Google for Education Partner, serta bertanggung jawab untuk membangun aliansi dan nilai dengan mitra perusahaan."
Technical Advisor,Technical Advisor,"Pendiri Pengelola Nama Domain Internet Indonesia (PANDI). Lulusan ITB dan UNPAD. Sebelumnya Presiden Direktur PT Pos Indonesia, Dirjen Aplikasi Telematika-Kemenkominfo, Komisaris Bank Mandiri, Komisaris Independen Telkom Indonesia."
Chief Executive Officer,Chief Executive Officer,Lulusan Teknik Informatika ITB. Mendirikan dan menjadi CEO Dicoding sejak 2015. Sebelumnya bekerja di Microsoft dan Nokia. Mengembangkan developer serta jejaringnya di Indonesia hingga Asia Tenggara.
Chief Operating Officer,Chief Operating Officer,Bergabung sejak awal Dicoding berdiri tahun 2015. Pernah bekerja di Nokia untuk mengembangkan developer di Indonesia. Kini fokus memberikan experience terbaik pada user dan partner Dicoding.
Chief Technology Officer,Chief Technology Officer,"Melakukan commit code pertama untuk dicoding.com. Fokus membangun fondasi dan platform yang stabil, tangguh dan aman. Tujuannya memudahkan engineer dalam memberi dampak yang maksimal."
Managing Editor,Managing Editor,"Memulai karir sebagai Curriculum Developer di tahun 2016. Setelah berhasil mengembangkan banyak kelas berkualitas di Academy, saat ini bertanggung jawab menyunting materi kelas agar tetap terjaga kualitasnya."
Chief Learning Officer,Chief Learning Officer,Lulusan Teknik Informatika ITB. Berpengalaman dalam membangun berbagai sistem dengan perhatian khusus di edukasi. Saat ini bertanggung jawab mengembangkan pengalaman belajar untuk siswa di Dicoding.
Chief Product Officer,Chief Product Officer,"Meraih gelar LINE API Expert. Pernah bekerja di Gojek sebagai Product Engineer. Setelah berhasil membangun tim Reviewer, kini fokus untuk memastikan dicoding.com bisa menyelesaikan masalah para pengguna."
Head of Growth,Head of Growth,Lulusan Teknik Informatika Universitas Brawijaya. Saat ini fokus menumbuhkan ekosistem pengguna agar dapat merasakan manfaat belajar bersama Dicoding.
Business Development Manager,Business Development Manager,Lulusan Manajemen Bisnis Telekomunikasi &amp; Informatika Telkom University. Saat ini bertanggung jawab dalam mengembangkan strategi dan menciptakan peluang bisnis untuk perusahaan.
Head of Reviewer,Head of Reviewer,Peraih gelar Google Certified Associate Android Developer sejak 2019. Bergabung dengan Dicoding untuk membantu developer Indonesia menuliskan kode dengan baik lewat Code Review.
Tech Lead,Tech Lead,Turut membangun Dicoding sejak awal 2020 sebagai Product Engineer. Saat ini fokus mengawal engineering initiatives agar engineer lebih bahagia dalam membangun solusi untuk para pengguna.
Engineer,Engineer,"Meraih gelar LINE API Expert. Bergabung sebagai Product Engineer sejak 2017. Bertanggung jawab pada pengembangan platform Dicoding, seperti code review, dan pemeliharaan fitur."
Curriculum Developer,Curriculum Developer,Lulusan Teknik Elektro UNDIP. Meraih gelar Google Associate Android Developer. Saat ini bertanggung jawab pada kualitas materi kelas terkait Android.
Curriculum Developer,Curriculum Developer,Sebelumnya mengabdi pada sebuah NGO untuk membantu perekonomian UMKM melalui produk digital. Meraih gelar Google Associate Android Developer. Kini bertanggung jawab pada kualitas materi kelas Web Development.
Curriculum Developer,Curriculum Developer,Lulusan Magister Sains Komputasi ITB. Berpengalaman menjadi dosen selama 5 tahun. Meraih gelar Certified TensorFlow Developer. Kini bertanggung jawab pada kualitas materi kelas Machine Learning.
Curriculum Developer,Curriculum Developer,Bergabung sebagai Curriculum Developer dan saat ini bertanggung jawab untuk menjaga kualitas materi kelas terkait iOS dengan dibekali sertifikasi dari University of Toronto.
Senior Program Manager,Senior Program Manager,"Lulusan UI &amp; Sciences Po, Perancis. Fokus mengelola program pendidikan talenta digital yang dipercayakan client kepada Dicoding. Berpengalaman menulis &amp; menjalankan proyek donor di United Nations."
Senior Education Program Manager,Senior Education Program Manager,Lulusan Teknik Informatika ITS. Meraih gelar Intel Software Innovator. Mewakili Dicoding dan Indonesia di ASEAN Future Workforce Council. Bertanggung jawab dalam mengelola program pendidikan bersama partner.
Program Operation,Program Operation,Meraih gelar Intel Innovator. Menempuh studi MBA di Institut Teknologi Bandung.Saat ini bertanggung jawab dalam menyukseskan program-program Dicoding bersama partner.
Alliance Director,Alliance Director,"Lulusan International Management Ritsumeikan APU, Jepang. Saat ini mengurus kerjasama Google Cloud Partner dan Google for Education Partner, serta bertanggung jawab untuk membangun aliansi dan nilai dengan mitra perusahaan."
Technical Advisor,Technical Advisor,"Pendiri Pengelola Nama Domain Internet Indonesia (PANDI). Lulusan ITB dan UNPAD. Sebelumnya Presiden Direktur PT Pos Indonesia, Dirjen Aplikasi Telematika-Kemenkominfo, Komisaris Bank Mandiri, Komisaris Independen Telkom Indonesia."
